,key,label,description,parent_category,meta_label,ld
33,jconst,Judicial constitution,The role of the supreme court or judiciary is specified in the constitution,,STRØM-IDC,Judicial constitution - The role of the supreme court or judiciary is specified in the constitution
34,jrevman,Judicial review,The judicial branch has the power to declare the actions of the legislature AND executive unconstitutional,,STRØM-IDC,Judicial review - The judicial branch has the power to declare the actions of the legislature AND executive unconstitutional
35,violation,Violation of mandated powersharing,"Any of the following institutions are mandated and not implemented: reserved executive positions, reserved legislative search (for minorities or interest groups) [or] grand coalitions",,STRØM-IDC,"Violation of mandated powersharing - Any of the following institutions are mandated and not implemented: reserved executive positions, reserved legislative search (for minorities or interest groups) [or] grand coalitions"
0,1,Acción de amparo,"Acción constitucional establecida para tutelar la libertad personal y seguridad individual frente a todo acto ilegalo contrario a la Constitución que represente una amenaza, perturbación o privación para el legítimo ejercicio de la misma.",,NC-DCC,"Acción de amparo - Acción constitucional establecida para tutelar la libertad personal y seguridad individual frente a todo acto ilegalo contrario a la Constitución que represente una amenaza, perturbación o privación para el legítimo ejercicio de la misma."
1,2,Acción de amparo económico,"Acción popular de rango legal, que procede en contra de “infracciones” al art. 19 No 21, relativo al derecho a realizar cualquier actividad económica que no sea contraria a la moral, el orden público o la seguridad nacional, respetando las normas legales que las regulen (art. único, L. 18.971). La acción puede ser interpuesta por la infracción tanto del derecho en sí, establecido en el inc. 1° del art. 19 No 21, como del estatuto del Estado empresario, regulado en el inc. 2° del mismo precepto constitucional (véase “Estado empresario”, “Derecho a desarrollar cualquier actividad económica”). Si bien la jurisprudencia ha sido contradictoria, fallos recientes limitan esta acción sólo respecto del inciso segundo del art. 19 No 2 (SCS R. 10-461-14).",,NC-DCC,"Acción de amparo económico - Acción popular de rango legal, que procede en contra de “infracciones” al art. 19 No 21, relativo al derecho a realizar cualquier actividad económica que no sea contraria a la moral, el orden público o la seguridad nacional, respetando las normas legales que las regulen (art. único, L. 18.971). La acción puede ser interpuesta por la infracción tanto del derecho en sí, establecido en el inc. 1° del art. 19 No 21, como del estatuto del Estado empresario, regulado en el inc. 2° del mismo precepto constitucional (véase “Estado empresario”, “Derecho a desarrollar cualquier actividad económica”). Si bien la jurisprudencia ha sido contradictoria, fallos recientes limitan esta acción sólo respecto del inciso segundo del art. 19 No 2 (SCS R. 10-461-14)."
2,3,Acción de inaplicabilidad por inconstitucionalidad,"“acción que el ordenamiento supremo franquea para evitar que la aplicación de uno o más preceptos legales, invocados en una gestión judicial pendiente, produzca efectos, formal o sustantivamente, contrarios al Código Político. Trátase, por ende, de un control concreto de la constitucionalidad de la ley, centrado en el caso sub lite y cuya resolución se limita a qué disposiciones legales determinadas, en sí mismas, resulten, en su sentido y alcance intrínseco, inconciliables con el texto y el espíritu de la Carta Fundamental” (STC R. 1390-09, véase “Control de constitucionalidad”).",,NC-DCC,"Acción de inaplicabilidad por inconstitucionalidad - “acción que el ordenamiento supremo franquea para evitar que la aplicación de uno o más preceptos legales, invocados en una gestión judicial pendiente, produzca efectos, formal o sustantivamente, contrarios al Código Político. Trátase, por ende, de un control concreto de la constitucionalidad de la ley, centrado en el caso sub lite y cuya resolución se limita a qué disposiciones legales determinadas, en sí mismas, resulten, en su sentido y alcance intrínseco, inconciliables con el texto y el espíritu de la Carta Fundamental” (STC R. 1390-09, véase “Control de constitucionalidad”)."
3,4,Acción de inconstitucionalidad,"Es la acción pública que da inicio al proceso tendiente a la declaración de inconstitucionalidad de un precepto legal determinado, bajo el presupuesto procesal que se haya declarado previamente inaplicable exactamente el mismo precepto por sentencia del TC, y cuyo objeto es obtener tal declaración por la mayoría de cuatro quintos de los Ministros del TC, resolviéndose así su expulsión y derogación del ordenamiento jurídico sin efecto retroactivo.",,NC-DCC,"Acción de inconstitucionalidad - Es la acción pública que da inicio al proceso tendiente a la declaración de inconstitucionalidad de un precepto legal determinado, bajo el presupuesto procesal que se haya declarado previamente inaplicable exactamente el mismo precepto por sentencia del TC, y cuyo objeto es obtener tal declaración por la mayoría de cuatro quintos de los Ministros del TC, resolviéndose así su expulsión y derogación del ordenamiento jurídico sin efecto retroactivo."
4,5,Acción de protección,"Acción constitucional establecida para tutelar los derechos taxativamente enumerados en el art. 20 de la Constitución, frente a toda acción u omisión ilegal o arbitraria que represente una amenaza, perturbación o privación para el legítimo ejercicio de los mismos. La acción de protección es una garantía constitucional establecida para proteger los derechos listados en el art. 20 y se le conoce también como “recurso” de protección (véase “Garantías constitucionales”). El TC ha estimado que la acción de protección es una acción de carácter cautelar, cuyo objeto es constituir una garantía rápida y eficaz para restablecer el imperio del derecho y asegurar la protección del afectado (STC R. 1557-09).",,NC-DCC,"Acción de protección - Acción constitucional establecida para tutelar los derechos taxativamente enumerados en el art. 20 de la Constitución, frente a toda acción u omisión ilegal o arbitraria que represente una amenaza, perturbación o privación para el legítimo ejercicio de los mismos. La acción de protección es una garantía constitucional establecida para proteger los derechos listados en el art. 20 y se le conoce también como “recurso” de protección (véase “Garantías constitucionales”). El TC ha estimado que la acción de protección es una acción de carácter cautelar, cuyo objeto es constituir una garantía rápida y eficaz para restablecer el imperio del derecho y asegurar la protección del afectado (STC R. 1557-09)."
5,6,Acción de reclamación por privación o des conocimiento de la nacionalidad,Acción constitucional establecida para tutelar el derecho a la nacionalidad frente a todo acto o resolución administrativa que prive o desconozca la nacionalidad chilena de una persona.,,NC-DCC,Acción de reclamación por privación o des conocimiento de la nacionalidad - Acción constitucional establecida para tutelar el derecho a la nacionalidad frente a todo acto o resolución administrativa que prive o desconozca la nacionalidad chilena de una persona.
6,7,Acción penal,"Se puede entender que la acción penal es aquella que nace a partir de un delito para su persecución judicial y que da inicio a un proceso penal. El concepto de acción penal no está definido por el legislador. El CpP señala que el fin de la acción penal es “impetrar la averiguación de todo hecho punible y sancionar, en su caso, el delito  que resulte probado” (art. 10 CpP). La actual legislación procesal penal  clasifica las acciones penales en públicas y privadas (art. 53 CPP) y acción  pública previa instancia particular (art. 54 CPP), que constituye una acción mixta.  
",,NC-DCC,"Acción penal - Se puede entender que la acción penal es aquella que nace a partir de un delito para su persecución judicial y que da inicio a un proceso penal. El concepto de acción penal no está definido por el legislador. El CpP señala que el fin de la acción penal es “impetrar la averiguación de todo hecho punible y sancionar, en su caso, el delito  que resulte probado” (art. 10 CpP). La actual legislación procesal penal  clasifica las acciones penales en públicas y privadas (art. 53 CPP) y acción  pública previa instancia particular (art. 54 CPP), que constituye una acción mixta.  
"
7,8,Acciones constitucionales,"Véase “Garantías constitucionales” [Es el conjunto de medios o mecanismos que el ordenamiento jurídico establece para la protección, tutela, efectividad o salvaguardia de los derechos fundamentales.].",,NC-DCC,"Acciones constitucionales - Véase “Garantías constitucionales” [Es el conjunto de medios o mecanismos que el ordenamiento jurídico establece para la protección, tutela, efectividad o salvaguardia de los derechos fundamentales.]."
8,9,Acciones de salud,"Son los ámbitos de protección del derecho a la salud que el legislador garantiza mediante prestaciones pro mocionales, protectoras, recuperativas y rehabilitadoras de la misma, que constituyen el objeto del derecho constitucional contemplado en el art. 19 Nº 9. Las acciones de salud constitucionalmente reguladas son cuatro: acciones de promoción, protección, recuperación y rehabilitación del in dividuo (véase, “Derecho a la protección de la salud”).",,NC-DCC,"Acciones de salud - Son los ámbitos de protección del derecho a la salud que el legislador garantiza mediante prestaciones pro mocionales, protectoras, recuperativas y rehabilitadoras de la misma, que constituyen el objeto del derecho constitucional contemplado en el art. 19 Nº 9. Las acciones de salud constitucionalmente reguladas son cuatro: acciones de promoción, protección, recuperación y rehabilitación del in dividuo (véase, “Derecho a la protección de la salud”)."
9,10,Acciones judiciales contra ministros de es tado,"Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante.",,NC-DCC,"Acciones judiciales contra ministros de es tado - Es el antejuicio del Senado para habilitar el ejercicio de acciones  que persigan la responsabilidad civil de los Ministros de Estado, por actos  personales e injustos de éstos en el ejercicio de su cargo y siempre que se deriven perjuicios en contra del particular demandante."
10,11,Acto administrativo,"“las decisiones formales que emitan los órganos de la Administración del Estado en las cuales se contienen declaraciones de voluntad, realizadas en el ejercicio de una potestad pública. Los actos administrativos tomarán la forma de decretos supremos y resoluciones.” (Art. 3 LBPA).",,NC-DCC,"Acto administrativo - “las decisiones formales que emitan los órganos de la Administración del Estado en las cuales se contienen declaraciones de voluntad, realizadas en el ejercicio de una potestad pública. Los actos administrativos tomarán la forma de decretos supremos y resoluciones.” (Art. 3 LBPA)."
11,12,Acuerdos [Banco Central],"Decisiones adoptadas por el Consejo del BC, las cuales deberán “tener presente la orientación general de la política económica del Gobierno” y que se ejecutan mediante resoluciones del Presidente del Banco (art. 6 inc. 2° LOC BC). Esta definición se corresponde con lo que la LBPA determina: “las  decisiones de los órganos administrativos pluripersonales se denominan acuerdos y se llevan a efecto por medio de resoluciones de la autoridad ejecutiva de la entidad correspondiente” (art. 3, inc. 7° LBPA). Su único límite material es la constatación, pese a la autonomía del BC, que estos acuerdos se adoptan en el marco de las finalidades que persigue la política económica contingente del Gobierno.",,NC-DCC,"Acuerdos [Banco Central] - Decisiones adoptadas por el Consejo del BC, las cuales deberán “tener presente la orientación general de la política económica del Gobierno” y que se ejecutan mediante resoluciones del Presidente del Banco (art. 6 inc. 2° LOC BC). Esta definición se corresponde con lo que la LBPA determina: “las  decisiones de los órganos administrativos pluripersonales se denominan acuerdos y se llevan a efecto por medio de resoluciones de la autoridad ejecutiva de la entidad correspondiente” (art. 3, inc. 7° LBPA). Su único límite material es la constatación, pese a la autonomía del BC, que estos acuerdos se adoptan en el marco de las finalidades que persigue la política económica contingente del Gobierno."
12,13,Acuerdos parlamentarios,"Son las decisiones camara les que adopta el Senado o la Cámara de Diputados sobre el mérito de distintas cuestiones políticas relativas al gobierno y la administración del  Estado, tanto de orden nacional como internacional.",,NC-DCC,"Acuerdos parlamentarios - Son las decisiones camara les que adopta el Senado o la Cámara de Diputados sobre el mérito de distintas cuestiones políticas relativas al gobierno y la administración del  Estado, tanto de orden nacional como internacional."
13,14,Acusación constitucional,"Atribución exclusiva de la Cámara de Diputados, con la cual se inicia el procedimiento que tiene por objeto hacer responsable jurídica y políticamente a autoridades o al tos funcionarios del Estado, por actos propios del cargo que desempeñan, en razón de los ilícitos establecidos taxativamente en la Constitución (véase “Cámara de Diputados”). La acusación constitucional es la etapa inicial de lo que se ha denominado juicio político que, en conjunto, efectúan las cámaras del Congreso Nacional (véase “Juicio Político”).",,NC-DCC,"Acusación constitucional - Atribución exclusiva de la Cámara de Diputados, con la cual se inicia el procedimiento que tiene por objeto hacer responsable jurídica y políticamente a autoridades o al tos funcionarios del Estado, por actos propios del cargo que desempeñan, en razón de los ilícitos establecidos taxativamente en la Constitución (véase “Cámara de Diputados”). La acusación constitucional es la etapa inicial de lo que se ha denominado juicio político que, en conjunto, efectúan las cámaras del Congreso Nacional (véase “Juicio Político”)."
14,15,Administración del estado,"Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal.",,NC-DCC,"Administración del estado - Es el conjunto de todos los órganos del Estado con autonomía constitucional o legal, creados para el cumplimiento de la función administrativa, que se relacionan entre sí, sea a través de vínculos jerárquicos o de coordinación, con el deber de colaborar con el Presidente de la República en el fin de atender las necesidades públicas de forma continua y permanente. Tales órganos han sido creados para el impulso, ejercicio, desarrollo y fiscalización de todas las funciones administrativas del Estado mediante la aprobación, ejecución y control de políticas, planes, programas y acciones de alcance nacional, regional y comunal."
15,16,Administración financiera del estado,"Véase “Constitución económica” [Es el plexo normativo constitucional que regula los principios orientadores de la economía, los instrumentos de política económica, los derechos constitucionales de la esfera económica y el diseño institucional de la administración financiera del Estado.]. Véase “Sistema presupuestario” [Conjunto de principios y reglas que rigen la preparación, aprobación, ejecución y control del presupuesto de la Nación.].",,NC-DCC,"Administración financiera del estado - Véase “Constitución económica” [Es el plexo normativo constitucional que regula los principios orientadores de la economía, los instrumentos de política económica, los derechos constitucionales de la esfera económica y el diseño institucional de la administración financiera del Estado.]. Véase “Sistema presupuestario” [Conjunto de principios y reglas que rigen la preparación, aprobación, ejecución y control del presupuesto de la Nación.]."
16,17,Administración local,"Es la división del territorio para la organización de la administración del Estado descentralizada en el nivel zonal más reducido del país, correspondiente a las comunas o agrupación de comunas que según la ley reside en una municipalidad. La ejecuta el Alcalde (véase “Alcalde”), como máxima autoridad, y el Concejo Municipal (véase “Concejo Municipal”), quienes deben satisfacer las necesidades de la comunidad local y asegurar la participación de ella en su desarrollo económico, social y cultural (véase “Comuna”, “Municipalidad”).",,NC-DCC,"Administración local - Es la división del territorio para la organización de la administración del Estado descentralizada en el nivel zonal más reducido del país, correspondiente a las comunas o agrupación de comunas que según la ley reside en una municipalidad. La ejecuta el Alcalde (véase “Alcalde”), como máxima autoridad, y el Concejo Municipal (véase “Concejo Municipal”), quienes deben satisfacer las necesidades de la comunidad local y asegurar la participación de ella en su desarrollo económico, social y cultural (véase “Comuna”, “Municipalidad”)."
17,18,Administración provincial,Es la división del territorio para la organización del gobierno y administración regional del Estado desconcentrada en el nivel zonal intermedio del país correspondiente a las provincias y que reside en las gobernaciones.,,NC-DCC,Administración provincial - Es la división del territorio para la organización del gobierno y administración regional del Estado desconcentrada en el nivel zonal intermedio del país correspondiente a las provincias y que reside en las gobernaciones.
18,19,Afectación tributaria,"Destinación directa, a fines y actividades estatales específicas, de los montos recaudados a través de un  tributo que constituye una excepción al ingreso a las rentas generales de la Nación.",,NC-DCC,"Afectación tributaria - Destinación directa, a fines y actividades estatales específicas, de los montos recaudados a través de un  tributo que constituye una excepción al ingreso a las rentas generales de la Nación."
19,20,Agresión,"Ataque, generalmente armado, de una nación extranjera contra otro Estado soberanamente independiente, sin declaración previa, que compromete la integridad total o parcial de su territorio, afectando su seguridad exterior.",,NC-DCC,"Agresión - Ataque, generalmente armado, de una nación extranjera contra otro Estado soberanamente independiente, sin declaración previa, que compromete la integridad total o parcial de su territorio, afectando su seguridad exterior."
20,21,Alcalde,"Es la máxima autoridad del nivel local, electa democráticamente mediante sufragio directo de la población de su comuna, correspondiéndole la dirección y administración superior de la Municipalidad, y la supervigilancia de su funcionamiento (véase “Municipalidad”).",,NC-DCC,"Alcalde - Es la máxima autoridad del nivel local, electa democráticamente mediante sufragio directo de la población de su comuna, correspondiéndole la dirección y administración superior de la Municipalidad, y la supervigilancia de su funcionamiento (véase “Municipalidad”)."
21,22,Allanamiento,"En conformidad a lo dispuesto por el art.156 del CPP, se entiende por allanamiento la “entrada y registro en cualquier edificio o lugar cerrado, sea público o particular, por medio de una orden judicial y en caso de que hubiere indicio de encontrarse allí el inculpado o procesado, o efectos o instrumentos del delito, o libros, papeles o cualesquiera otros objetos que puedan servir para descubrir un delito o comprobarlo.”",,NC-DCC,"Allanamiento - En conformidad a lo dispuesto por el art.156 del CPP, se entiende por allanamiento la “entrada y registro en cualquier edificio o lugar cerrado, sea público o particular, por medio de una orden judicial y en caso de que hubiere indicio de encontrarse allí el inculpado o procesado, o efectos o instrumentos del delito, o libros, papeles o cualesquiera otros objetos que puedan servir para descubrir un delito o comprobarlo.”"
22,23,Amnistía,"Ley favorable y dispensatoria de la aplicación de la ley penal, para los beneficiarios que identifica, dejando subsistente los mandatos generales de ésta. Se considera que los amnistiados no han cometido delito alguno, ni son culpables, no obstante haber realizado los hechos catalogados como delictuosos según el ordenamiento jurídico normal, general y subsistente [Silva Bascuñán, 2000 T. VII: 247-8].",,NC-DCC,"Amnistía - Ley favorable y dispensatoria de la aplicación de la ley penal, para los beneficiarios que identifica, dejando subsistente los mandatos generales de ésta. Se considera que los amnistiados no han cometido delito alguno, ni son culpables, no obstante haber realizado los hechos catalogados como delictuosos según el ordenamiento jurídico normal, general y subsistente [Silva Bascuñán, 2000 T. VII: 247-8]."
23,24,Apátrida,"Persona natural que carece de nacionalidad, individuo al que el Derecho de ningún Estado le otorga nacionalidad.",,NC-DCC,"Apátrida - Persona natural que carece de nacionalidad, individuo al que el Derecho de ningún Estado le otorga nacionalidad."
24,25,Aplicación directa de la constitución,"Es el efecto vinculante, mediato o inmediato, de las normas constitucionales sobre toda persona, institución o grupo. Se suele argumentar que la aplicabilidad directa de la Constitución es una consecuencia del hecho de tratarse de una norma jurídica superior. Ésta puede ser concebida integralmente como una norma que manda, prohíbe, permite o configura los principios para que aquello acontezca. La aplicación directa de la Constitución es uno de los efectos de su fuerza normativa, por ello, su fuente se establece en las bases de la institucionalidad, al indicar que “los preceptos de esta Constitución obligan tanto a titulares o integrantes de dichos órganos como a toda persona, institución o grupo” (art. 6, inc. 2°).",,NC-DCC,"Aplicación directa de la constitución - Es el efecto vinculante, mediato o inmediato, de las normas constitucionales sobre toda persona, institución o grupo. Se suele argumentar que la aplicabilidad directa de la Constitución es una consecuencia del hecho de tratarse de una norma jurídica superior. Ésta puede ser concebida integralmente como una norma que manda, prohíbe, permite o configura los principios para que aquello acontezca. La aplicación directa de la Constitución es uno de los efectos de su fuerza normativa, por ello, su fuente se establece en las bases de la institucionalidad, al indicar que “los preceptos de esta Constitución obligan tanto a titulares o integrantes de dichos órganos como a toda persona, institución o grupo” (art. 6, inc. 2°)."
25,26,Apremio Ilegítimo,"Los apremios ilegítimos son aquellos que no están autorizados por el ordenamiento jurídico, ya sea por falta de previsión legal o constitucional o por carecer uno o más de los requisitos formales para su procedencia. Dentro de los apremios ilegítimos prohibidos, se consideran la tortura y los tratos crueles, inhumanos y degradantes (véase “Tortura”). Cabe considerar, sin embargo, que el apremio ilegítimo es un concepto jurídico que goza de un alto nivel de indeterminación y se estima que es más amplio que la tortura y los tratos crueles.",,NC-DCC,"Apremio Ilegítimo - Los apremios ilegítimos son aquellos que no están autorizados por el ordenamiento jurídico, ya sea por falta de previsión legal o constitucional o por carecer uno o más de los requisitos formales para su procedencia. Dentro de los apremios ilegítimos prohibidos, se consideran la tortura y los tratos crueles, inhumanos y degradantes (véase “Tortura”). Cabe considerar, sin embargo, que el apremio ilegítimo es un concepto jurídico que goza de un alto nivel de indeterminación y se estima que es más amplio que la tortura y los tratos crueles."
26,27,Arbitraje obligatorio,Intervención estatal imperativa en un proceso de negociación colectiva –que por regla general se encuentra sometido a la resolución voluntaria de las partes– con el objeto de cesar el conflicto (véase “Derecho a la negociación colectiva”).,,NC-DCC,Arbitraje obligatorio - Intervención estatal imperativa en un proceso de negociación colectiva –que por regla general se encuentra sometido a la resolución voluntaria de las partes– con el objeto de cesar el conflicto (véase “Derecho a la negociación colectiva”).
27,28,Áreas metropolitanas,"La ley las define como “extensión territorial formada por dos o más centros de población unidos entre sí por espacios construidos y que comparten la utilización de diversos elementos de infraestructura y servicios urbanos. Constituye un espacio territorial que se configura por la agrupación de varias comunas bajo una autoridad coordinadora, con el fin de planificar y coordinar acciones conjuntas de los municipios sobre los problemas de una gran ciudad y cuyos efectos sobrepasan los límites administrativos menores o municipales (art.109 inc. 2° de la LOC GAR).",,NC-DCC,"Áreas metropolitanas - La ley las define como “extensión territorial formada por dos o más centros de población unidos entre sí por espacios construidos y que comparten la utilización de diversos elementos de infraestructura y servicios urbanos. Constituye un espacio territorial que se configura por la agrupación de varias comunas bajo una autoridad coordinadora, con el fin de planificar y coordinar acciones conjuntas de los municipios sobre los problemas de una gran ciudad y cuyos efectos sobrepasan los límites administrativos menores o municipales (art.109 inc. 2° de la LOC GAR)."
28,29,Arresto,"Es una medida de apremio, en sentido amplio, consistente en la privación temporal de libertad ambulatoria de una persona con el objeto de ponerla a disposición de la respectiva autoridad competente. A diferencia de la detención, que se ubica en la órbita de la persecución penal, el arresto puede ser una medida de apremio en un proceso de naturaleza civil, una sanción disciplinaria al interior de las FFAA o una medida de seguridad preventiva dentro de los Estados de excepción constitucional. Desde el punto de vista de los derechos, es una restricción legalmente autorizada de la libertad personal y seguridad individual (art.19 No 7, véase “Derecho a la libertad personal y la seguridad individual”, “Estados de excepción constitucional”).",,NC-DCC,"Arresto - Es una medida de apremio, en sentido amplio, consistente en la privación temporal de libertad ambulatoria de una persona con el objeto de ponerla a disposición de la respectiva autoridad competente. A diferencia de la detención, que se ubica en la órbita de la persecución penal, el arresto puede ser una medida de apremio en un proceso de naturaleza civil, una sanción disciplinaria al interior de las FFAA o una medida de seguridad preventiva dentro de los Estados de excepción constitucional. Desde el punto de vista de los derechos, es una restricción legalmente autorizada de la libertad personal y seguridad individual (art.19 No 7, véase “Derecho a la libertad personal y la seguridad individual”, “Estados de excepción constitucional”)."
29,30,Ascensos,"La ley define el ascenso como la “promoción del personal de planta a un grado superior vacante en la línea jerárquica, sujetándose estrictamente al orden de su escalafón y previo cumplimiento de los requisitos pertinentes, y sin perjuicio de las demás exigencias y de las excepciones que se establecen en la Ley Orgánica Constitucional de las Fuerzas Armadas y en este Estatuto.” (Art. 40, DFL No 1/1997 Estatuto del Personal de las Fuerzas Armadas).",,NC-DCC,"Ascensos - La ley define el ascenso como la “promoción del personal de planta a un grado superior vacante en la línea jerárquica, sujetándose estrictamente al orden de su escalafón y previo cumplimiento de los requisitos pertinentes, y sin perjuicio de las demás exigencias y de las excepciones que se establecen en la Ley Orgánica Constitucional de las Fuerzas Armadas y en este Estatuto.” (Art. 40, DFL No 1/1997 Estatuto del Personal de las Fuerzas Armadas)."
30,31,Asociación de municipalidades,"Agrupación derivada de la facultad municipal que permite que dos o más municipalidades, que pertenecen o no a una misma provincia o región, puedan constituir asociaciones con el fin de solucionar problemas comunes o lograr un mejor aprovechamiento de los recursos disponibles.",,NC-DCC,"Asociación de municipalidades - Agrupación derivada de la facultad municipal que permite que dos o más municipalidades, que pertenecen o no a una misma provincia o región, puedan constituir asociaciones con el fin de solucionar problemas comunes o lograr un mejor aprovechamiento de los recursos disponibles."
31,32,Asociación ilícita,"El legislador define asociación ilícita como aquellas “formadas con el objeto de atentar contra el orden social, contra las buenas costumbres, contra las personas o las propiedades, el cual constituye delito por el solo hecho de organizarse” (art. 292 CP).",,NC-DCC,"Asociación ilícita - El legislador define asociación ilícita como aquellas “formadas con el objeto de atentar contra el orden social, contra las buenas costumbres, contra las personas o las propiedades, el cual constituye delito por el solo hecho de organizarse” (art. 292 CP)."
32,33,Atributos del dominio,"Véase “Derecho de propiedad” [Es la facultad de usar, gozar y disponer de toda clase de bienes corporales e incorporales en el marco de las limitaciones legales derivadas de su función social.].",,NC-DCC,"Atributos del dominio - Véase “Derecho de propiedad” [Es la facultad de usar, gozar y disponer de toda clase de bienes corporales e incorporales en el marco de las limitaciones legales derivadas de su función social.]."
33,34,Auto acordado,"Normas infra legales dictadas por los tribunales superiores de justicia con el objeto de regular ciertas materias procesales en cuestiones propias del funcionamiento interno de estos órganos jurisdiccionales (véase “Corte de Apelaciones”, “Corte Suprema”, “Tribunales superiores de justicia”).",,NC-DCC,"Auto acordado - Normas infra legales dictadas por los tribunales superiores de justicia con el objeto de regular ciertas materias procesales en cuestiones propias del funcionamiento interno de estos órganos jurisdiccionales (véase “Corte de Apelaciones”, “Corte Suprema”, “Tribunales superiores de justicia”)."
34,35,Autorización judicial previa,"Garantía genérica del proceso penal consistente en que cualquier actuación que prive al imputado o un tercero del ejercicio de los derechos que la Constitución le asegura, o los restrinja o perturbe, requiere previamente ser autorizada por el juez.",,NC-DCC,"Autorización judicial previa - Garantía genérica del proceso penal consistente en que cualquier actuación que prive al imputado o un tercero del ejercicio de los derechos que la Constitución le asegura, o los restrinja o perturbe, requiere previamente ser autorizada por el juez."
35,36,Balotaje,Véase “Segunda vuelta” [Es la elección adicional y eventual que dirime el cargo de Presidente de la República circunscrita entre las dos primeras mayorías relativas que no logran mayoría absoluta de sufragios válidamente emitidos.].,,NC-DCC,Balotaje - Véase “Segunda vuelta” [Es la elección adicional y eventual que dirime el cargo de Presidente de la República circunscrita entre las dos primeras mayorías relativas que no logran mayoría absoluta de sufragios válidamente emitidos.].
36,37,Bancadas parlamentarias,"Conjunto de parlamentarios pertenecientes a uno o más partidos políticos, con representación en la Cámara de Diputados (véase “Cámara de Diputados”) o el Senado (véase “Senado”), constituidos en uno o más Comités Parlamentarios en conformidad con el Reglamento respectivo. El Jefe de Bancada, vocero y representante, permite la relación de la Mesa de la Cámara con la Corporación (art. 1 No 5 y 10 RCD).",,NC-DCC,"Bancadas parlamentarias - Conjunto de parlamentarios pertenecientes a uno o más partidos políticos, con representación en la Cámara de Diputados (véase “Cámara de Diputados”) o el Senado (véase “Senado”), constituidos en uno o más Comités Parlamentarios en conformidad con el Reglamento respectivo. El Jefe de Bancada, vocero y representante, permite la relación de la Mesa de la Cámara con la Corporación (art. 1 No 5 y 10 RCD)."
37,38,Banco Central,"Es un organismo autónomo, de rango constitucional, de carácter técnico, con personalidad jurídica, patrimonio propio y duración indefinida, que tiene por objeto “velar por la estabilidad de la moneda y el normal funcionamiento de los pagos internos y externos”, especialmente a través de la emisión del dinero, la regulación del crédito y del circulante, la regulación del sistema financiero y el mercado de capitales, de las operaciones de cambio internacionales y de la estabilidad financiera en general (art. 108, art. 1 y 3 LOC BC).",,NC-DCC,"Banco Central - Es un organismo autónomo, de rango constitucional, de carácter técnico, con personalidad jurídica, patrimonio propio y duración indefinida, que tiene por objeto “velar por la estabilidad de la moneda y el normal funcionamiento de los pagos internos y externos”, especialmente a través de la emisión del dinero, la regulación del crédito y del circulante, la regulación del sistema financiero y el mercado de capitales, de las operaciones de cambio internacionales y de la estabilidad financiera en general (art. 108, art. 1 y 3 LOC BC)."
38,39,Bandera,"Véase “Emblemas nacionales” [Conjunto de objetos que representan simbólicamente ciertos valores de patriotismo y unidad nacional. En Chile los emblemas nacionales son el Escudo de Armas de la República, la Bandera Nacional y el Himno Nacional.].",,NC-DCC,"Bandera - Véase “Emblemas nacionales” [Conjunto de objetos que representan simbólicamente ciertos valores de patriotismo y unidad nacional. En Chile los emblemas nacionales son el Escudo de Armas de la República, la Bandera Nacional y el Himno Nacional.]."
39,40,Bases de procedimientos que rigen la administración,"Legislación general que establece y regula la normatividad esencial que orienta plenamente el procedimiento de los actos de la Administración del Estado y, de forma supletoria, para los casos en que la ley contemple procedimientos especiales.",,NC-DCC,"Bases de procedimientos que rigen la administración - Legislación general que establece y regula la normatividad esencial que orienta plenamente el procedimiento de los actos de la Administración del Estado y, de forma supletoria, para los casos en que la ley contemple procedimientos especiales."
40,41,Bases esenciales del ordenamiento jurídico,"Véase “Ley” [El CC define ley, en su art. 1, como “una declaración de la voluntad soberana, que manifestada en la forma prescrita por la Constitución, manda, prohíbe o permite”.].",,NC-DCC,"Bases esenciales del ordenamiento jurídico - Véase “Ley” [El CC define ley, en su art. 1, como “una declaración de la voluntad soberana, que manifestada en la forma prescrita por la Constitución, manda, prohíbe o permite”.]."
